record,metric,ALL,AC,DC,beats_per_window,edge_weight,direction,freq_domain
3QPGYYQXVM_Myo,minimum_cut_value_left_to_right,-0.03846200873908479,-0.045298917483016815,-0.02523707610153724,4,None,None,False
3QPGYYQXVM_Myo,maximum_flow_value_left_to_right,-0.03846200873908479,-0.045298917483016815,-0.02523707610153724,4,None,None,False
3QPGYYQXVM_Myo,shortest_path_length_left_to_right,0.022690828721655943,0.027041236111544485,0.05718497850057314,4,None,None,False
3QPGYYQXVM_Myo,minimum_cut_value_left_to_right,-0.03846200873908479,-0.045298917483016815,-0.02523707610153724,4,None,left_to_right,False
3QPGYYQXVM_Myo,maximum_flow_value_left_to_right,-0.03846200873908479,-0.045298917483016815,-0.02523707610153724,4,None,left_to_right,False
3QPGYYQXVM_Myo,shortest_path_length_left_to_right,0.022690828721655943,0.027041236111544485,0.05718497850057314,4,None,left_to_right,False
3QPGYYQXVM_Myo,dag_longest_path_length,,,,4,None,left_to_right,False
3QPGYYQXVM_Myo,minimum_cut_value_left_to_right,0.0038340432923827683,0.003645380285158005,0.34328464599386277,4,slope,None,False
3QPGYYQXVM_Myo,maximum_flow_value_left_to_right,0.0038340432923827683,0.003645380285158005,0.34328464599386277,4,slope,None,False
3QPGYYQXVM_Myo,shortest_path_length_left_to_right,,,,4,slope,None,False
3QPGYYQXVM_Myo,minimum_cut_value_left_to_right,0.0038340432923827683,0.003645380285158005,0.34328464599386277,4,slope,left_to_right,False
3QPGYYQXVM_Myo,maximum_flow_value_left_to_right,0.0038340432923827683,0.003645380285158005,0.34328464599386277,4,slope,left_to_right,False
3QPGYYQXVM_Myo,shortest_path_length_left_to_right,0.9999988240662584,0.9999995259959804,0.9704846458083503,4,slope,left_to_right,False
3QPGYYQXVM_Myo,dag_longest_path_length,-0.981059778476008,-0.9924822591960059,0.2792793114788153,4,slope,left_to_right,False
3QPGYYQXVM_Myo,minimum_cut_value_left_to_right,0.008907708890142849,0.01134895842291352,0.12900973035830052,4,angle,None,False
3QPGYYQXVM_Myo,maximum_flow_value_left_to_right,0.008907708890142849,0.01134895842291352,0.12900973035830052,4,angle,None,False
3QPGYYQXVM_Myo,shortest_path_length_left_to_right,,,,4,angle,None,False
3QPGYYQXVM_Myo,minimum_cut_value_left_to_right,0.008907708890142849,0.01134895842291352,0.12900973035830052,4,angle,left_to_right,False
3QPGYYQXVM_Myo,maximum_flow_value_left_to_right,0.008907708890142849,0.01134895842291352,0.12900973035830052,4,angle,left_to_right,False
3QPGYYQXVM_Myo,shortest_path_length_left_to_right,0.012533811851718748,0.012714432648338709,0.15482377027078223,4,angle,left_to_right,False
3QPGYYQXVM_Myo,dag_longest_path_length,-0.001842377554749437,-0.011436204201810928,0.07454819095072905,4,angle,left_to_right,False
3QPGYYQXVM_Myo,minimum_cut_value_left_to_right,0.003665391401007173,0.0034113282819903524,0.3424970402212554,4,v_distance,None,False
3QPGYYQXVM_Myo,maximum_flow_value_left_to_right,0.003665391401007173,0.0034113282819903524,0.3424970402212554,4,v_distance,None,False
3QPGYYQXVM_Myo,shortest_path_length_left_to_right,,,,4,v_distance,None,False
3QPGYYQXVM_Myo,minimum_cut_value_left_to_right,0.003665391401007173,0.0034113282819903524,0.3424970402212554,4,v_distance,left_to_right,False
3QPGYYQXVM_Myo,maximum_flow_value_left_to_right,0.003665391401007173,0.0034113282819903524,0.3424970402212554,4,v_distance,left_to_right,False
3QPGYYQXVM_Myo,shortest_path_length_left_to_right,0.9999999559926215,0.999999989504198,0.9997511637942198,4,v_distance,left_to_right,False
3QPGYYQXVM_Myo,dag_longest_path_length,-0.981059778476008,-0.9924822591960059,0.2792793114788153,4,v_distance,left_to_right,False
3QPGYYQXVM_Myo,minimum_cut_value_left_to_right,-0.9999818898495173,-0.9999929546526408,-0.5951630705752814,4,abs_slope,None,False
3QPGYYQXVM_Myo,maximum_flow_value_left_to_right,-0.9999818898495173,-0.9999929546526408,-0.5951630705752814,4,abs_slope,None,False
3QPGYYQXVM_Myo,shortest_path_length_left_to_right,-0.9999260163808715,-0.9999639880416773,-0.36720136445164514,4,abs_slope,None,False
3QPGYYQXVM_Myo,minimum_cut_value_left_to_right,-0.9999818898495173,-0.9999929546526408,-0.5951630705752814,4,abs_slope,left_to_right,False
3QPGYYQXVM_Myo,maximum_flow_value_left_to_right,-0.9999818898495173,-0.9999929546526408,-0.5951630705752814,4,abs_slope,left_to_right,False
3QPGYYQXVM_Myo,shortest_path_length_left_to_right,-0.9999260163808715,-0.9999639880416773,-0.36720136445164514,4,abs_slope,left_to_right,False
3QPGYYQXVM_Myo,dag_longest_path_length,-0.9999827204660163,-0.9999933530082237,-0.6072136020308334,4,abs_slope,left_to_right,False
3QPGYYQXVM_Myo,minimum_cut_value_left_to_right,-0.06638119022847037,-0.07936022320502431,-0.06560977705434576,4,abs_angle,None,False
3QPGYYQXVM_Myo,maximum_flow_value_left_to_right,-0.06638119022847037,-0.07936022320502431,-0.06560977705434576,4,abs_angle,None,False
3QPGYYQXVM_Myo,shortest_path_length_left_to_right,0.007044416149159119,0.00861371130601656,0.015750546652608794,4,abs_angle,None,False
3QPGYYQXVM_Myo,minimum_cut_value_left_to_right,-0.06638119022847037,-0.07936022320502431,-0.06560977705434576,4,abs_angle,left_to_right,False
3QPGYYQXVM_Myo,maximum_flow_value_left_to_right,-0.06638119022847037,-0.07936022320502431,-0.06560977705434576,4,abs_angle,left_to_right,False
3QPGYYQXVM_Myo,shortest_path_length_left_to_right,0.007044416149159119,0.00861371130601656,0.015750546652608794,4,abs_angle,left_to_right,False
3QPGYYQXVM_Myo,dag_longest_path_length,-0.018767677413719895,-0.02326050401848353,-0.04765125008490536,4,abs_angle,left_to_right,False
3QPGYYQXVM_Myo,minimum_cut_value_left_to_right,-0.9999869637921712,-0.9999943881533288,-0.6795330325438929,4,distance,None,False
3QPGYYQXVM_Myo,maximum_flow_value_left_to_right,-0.9999869637921712,-0.9999943881533288,-0.6795330325438929,4,distance,None,False
3QPGYYQXVM_Myo,shortest_path_length_left_to_right,-0.9999847355880419,-0.9999940421974235,-0.6355559615249113,4,distance,None,False
3QPGYYQXVM_Myo,minimum_cut_value_left_to_right,-0.9999869638321445,-0.9999943882103934,-0.6795335843005995,4,distance,left_to_right,False
3QPGYYQXVM_Myo,maximum_flow_value_left_to_right,-0.9999869638321445,-0.9999943882103934,-0.6795335843005995,4,distance,left_to_right,False
3QPGYYQXVM_Myo,shortest_path_length_left_to_right,-0.9999847355880419,-0.9999940421974235,-0.6355559615249113,4,distance,left_to_right,False
3QPGYYQXVM_Myo,dag_longest_path_length,-0.9999827393854079,-0.9999933611319999,-0.6073646625906308,4,distance,left_to_right,False
3QPGYYQXVM_Myo,minimum_cut_value_left_to_right,-0.99998452501401,-0.9999957649193012,-0.7950324889777707,4,sq_distance,None,False
3QPGYYQXVM_Myo,maximum_flow_value_left_to_right,-0.99998452501401,-0.9999957649193012,-0.7950324889777707,4,sq_distance,None,False
3QPGYYQXVM_Myo,shortest_path_length_left_to_right,-0.9999845287863456,-0.9999957686363208,-0.7866950895468307,4,sq_distance,None,False
3QIXI1KT4E_-,minimum_cut_value_left_to_right,0.041496186500673125,-0.01379382086354759,0.1011545544090291,4,None,None,False
3QIXI1KT4E_-,maximum_flow_value_left_to_right,0.041496186500673125,-0.01379382086354759,0.1011545544090291,4,None,None,False
3QIXI1KT4E_-,shortest_path_length_left_to_right,-0.02673731691258077,0.007550639060952656,-0.048457334205077036,4,None,None,False
1LQJVQ84PB_Myo,minimum_cut_value_left_to_right,-0.05759764577125194,-0.07028718028646684,-0.0331051187192455,4,None,None,False
1LQJVQ84PB_Myo,maximum_flow_value_left_to_right,-0.05759764577125194,-0.07028718028646684,-0.0331051187192455,4,None,None,False
1LQJVQ84PB_Myo,shortest_path_length_left_to_right,0.043484764248889606,0.03956968627984279,0.07506026217021321,4,None,None,False
3QPGYYQXVM_Myo,minimum_cut_value_left_to_right,-0.99998452501401,-0.9999957649193014,-0.7950324905588545,4,sq_distance,left_to_right,False
3QPGYYQXVM_Myo,maximum_flow_value_left_to_right,-0.99998452501401,-0.9999957649193014,-0.7950324905588545,4,sq_distance,left_to_right,False
3QPGYYQXVM_Myo,shortest_path_length_left_to_right,-0.9999845287863456,-0.9999957686363208,-0.7866950895468307,4,sq_distance,left_to_right,False
3QPGYYQXVM_Myo,dag_longest_path_length,-0.9999845280155055,-0.9999957686094643,-0.7881277039517887,4,sq_distance,left_to_right,False
3QPGYYQXVM_Myo,minimum_cut_value_left_to_right,-0.9999869549353674,-0.9999943886009168,-0.6793490601357074,4,abs_v_distance,None,False
3QPGYYQXVM_Myo,maximum_flow_value_left_to_right,-0.9999869549353674,-0.9999943886009168,-0.6793490601357074,4,abs_v_distance,None,False
3QPGYYQXVM_Myo,shortest_path_length_left_to_right,-0.9999847044200388,-0.99999402794192,-0.635274052207853,4,abs_v_distance,None,False
1SU7TSDSEB_Myo,minimum_cut_value_left_to_right,-0.004866280839569018,-0.020132625081158196,0.06654026290453086,4,None,None,False
1SU7TSDSEB_Myo,maximum_flow_value_left_to_right,-0.004866280839569018,-0.020132625081158196,0.06654026290453086,4,None,None,False
1SU7TSDSEB_Myo,shortest_path_length_left_to_right,-0.0189449669609292,-0.014261518194792282,0.008780925775715159,4,None,None,False
3QPGYYQXVM_Myo,minimum_cut_value_left_to_right,-0.9999869549250636,-0.9999943885997642,-0.6793490601357074,4,abs_v_distance,left_to_right,False
3QPGYYQXVM_Myo,maximum_flow_value_left_to_right,-0.9999869549250636,-0.9999943885997642,-0.6793490601357074,4,abs_v_distance,left_to_right,False
3QPGYYQXVM_Myo,shortest_path_length_left_to_right,-0.9999847044200388,-0.99999402794192,-0.635274052207853,4,abs_v_distance,left_to_right,False
3QPGYYQXVM_Myo,dag_longest_path_length,-0.9999827204660163,-0.9999933530082237,-0.6072136020308334,4,abs_v_distance,left_to_right,False
1BN18COELA_Myo,minimum_cut_value_left_to_right,0.010803934550673524,-0.02965593621088153,0.07168937195310979,4,None,None,False
1BN18COELA_Myo,maximum_flow_value_left_to_right,0.010803934550673524,-0.02965593621088153,0.07168937195310979,4,None,None,False
1BN18COELA_Myo,shortest_path_length_left_to_right,-0.012097710136545174,0.029025938122036868,-0.02445431735743413,4,None,None,False
5L2QL31NFO_Myo,minimum_cut_value_left_to_right,0.04271506484132091,-0.062479938982302204,0.1675000852147391,4,None,None,False
5L2QL31NFO_Myo,maximum_flow_value_left_to_right,0.04271506484132091,-0.062479938982302204,0.1675000852147391,4,None,None,False
5L2QL31NFO_Myo,shortest_path_length_left_to_right,-0.010152244542773525,0.01499350809920458,-0.017693091255583233,4,None,None,False
0QH2ZTM3BZ_Myo,minimum_cut_value_left_to_right,-0.0038966126661725315,-0.041603353777031664,0.030762438078145302,4,None,None,False
0QH2ZTM3BZ_Myo,maximum_flow_value_left_to_right,-0.0038966126661725315,-0.041603353777031664,0.030762438078145302,4,None,None,False
0QH2ZTM3BZ_Myo,shortest_path_length_left_to_right,0.03142544319373763,-0.03161714086252056,0.11670219853483592,4,None,None,False
2CRP55PZA6_Myo,minimum_cut_value_left_to_right,0.020493850436498505,0.01564972071868274,0.06599791478991571,4,None,None,False
2CRP55PZA6_Myo,maximum_flow_value_left_to_right,0.020493850436498505,0.01564972071868274,0.06599791478991571,4,None,None,False
